NumHAcceptors,NumHDonors,anchor_end_PA,anchor_end_SA,anchor_end_CA,anchor_end_BA,anchor_end_O,anchor_end_SiO,anchor_end_N,anchor_end_S,alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,TPSA,MolLogP,PSA,control_PCE,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO,PCE
3,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,0,-5.629067,-0.019791,3.517359,11.8846,-37.50858,55.69695,66.48,0.599,95.16,14.05,0,0,1,0,0,16.65
3,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,-5.737593,1.3017,1.457171,11.08371,-33.86006,41.08512,52.49,-1.4394,58.86,11.47,0,1,0,0,0,15.9
3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,-5.666587,-2.41466,10.280853,26.36403,-61.81134,39.01268,61.08,-0.0906,175.13,19.63,0,0,1,0,0,21.43
2,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,-6.191948,1.306303,0.839986,11.61192,-39.77794,41.94646,46.25,-1.0626,43.84,12.8,0,0,0,1,0,16.3
3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.397986,-2.103406,3.544742,14.6946,-35.78387,53.45589,97.46,0.6856,119.62,23.75,0,0,0,1,0,25.32
3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.703703,-2.728762,6.343675,14.8121,-39.78824,64.8047,81.32,1.38378,119.03,21.26,0,0,1,0,0,23.02
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.72734,-0.667458,2.448948,15.89321,-34.74231,47.28162,92.0,-0.3099,92.52,22.89,0,0,1,0,0,24.71
6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.321591,-3.025292,5.476426,8.73501,-39.13829,49.72597,90.11,8.48668,185.2,22.16,0,1,0,0,0,23.48
2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,-6.382406,-0.998106,4.311716,11.67398,-19.52881,60.52804,40.46,-0.029,91.12,20.04,0,1,0,0,0,22.91
2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,-6.762661,-1.231503,0.926012,8.47821,-23.39947,40.7957,40.46,-0.029,58.66,20.04,0,1,0,0,0,21.81
2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.23404,-1.755012,4.808819,13.68364,-33.91239,42.70294,54.37,1.5379,111.84,20.04,0,1,0,0,0,21.37
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.217721,-1.796392,4.653361,12.31253,-41.30111,30.32329,37.3,1.9894,91.45,20.04,0,1,0,0,0,20.77
6,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-6.113971,-0.702201,5.742655,17.18175,-41.38529,50.40166,96.22,-0.9289,164.11,20.95,0,0,1,0,0,23.43
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-8.186258,-2.35938,0.0,16.77886,-25.96207,48.71585,74.6,-0.8444,71.04,21.2,0,0,1,0,0,22.91
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,-7.847118,-0.200495,2.338908,17.30172,-33.47507,52.31433,74.6,-0.4543,91.04,21.2,0,0,1,0,0,22.41
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,-7.720123,-0.084857,0.7051,14.5784,-31.33403,48.92321,74.6,-0.0642,91.42,21.2,0,0,1,0,0,21.81
2,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,-5.983251,-0.15977,4.217769,17.7853,-49.21478,52.88897,99.2,-1.44593,104.93,22.6,0,0,1,0,0,24.7
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.523852,0.097106,8.087402,17.67823,-49.39487,56.17143,92.0,-0.6359,109.98,20.05,0,0,1,0,0,21.04
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,63.32,-0.9703,70.92,18.82,0,0,1,0,0,20.68
3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,-6.68365,-0.775612,3.615849,9.28994,-24.76018,15.52877,27.69,1.6896,124.6,20.15,0,0,1,0,0,21.44
3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,-7.402452,1.242785,1.419746,6.59395,-28.30093,12.58998,27.69,1.2745,35.4,20.15,0,0,1,0,0,20.19
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-6.356329,-1.51276,1.209938,10.75224,-34.3331,46.83899,37.3,1.6735,71.01,13.18,0,0,0,1,0,14.11
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,-6.445326,0.007638,0.794582,12.42605,-30.95237,49.75872,37.3,0.3909,79.15,13.18,0,0,0,1,0,13.45
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,1,-6.267196,0.173568,0.818868,10.65589,-33.96118,47.09675,37.3,1.9513,89.4,13.18,0,0,0,1,0,11.8
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,1,-6.23452,0.218299,2.854859,8.37899,-35.03858,46.36071,37.3,3.9018,82.74,13.18,0,0,0,1,0,10.32
2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.261424,-2.045861,1.894267,11.03408,-34.44694,52.84255,50.19,0.7798,66.37,14.65,0,0,0,1,0,18.9
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.126442,-1.721957,1.392593,8.94094,-32.05022,49.53526,37.3,2.0382,53.12,20.3,0,0,0,1,0,21.35
2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-6.457486,-1.169664,2.38218,11.67811,-36.5637,44.2885,46.53,1.3934,88.35,20.3,0,0,0,1,0,20.73
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,20.3,0,0,0,1,0,19.43
4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,-6.238968,1.260305,1.793316,8.5172,-40.26079,21.84979,53.71,0.2133,65.31,9.9,0,0,0,1,0,12.7
4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-5.304664,-1.681424,5.233214,9.4141,-39.37277,24.93335,29.02,7.9936,186.65,12.53,0,1,0,0,0,16.25
10,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-4.982626,-2.676409,2.01658,8.10936,-26.72187,21.35134,80.58,11.337,219.17,12.53,0,1,0,0,0,17.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,-6.736539,-1.439881,2.9707,11.34624,-56.23834,19.00125,25.78,2.1436,87.64,15.86,0,1,0,0,0,16.53
3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,-7.696207,1.011394,3.90802,9.67424,-22.2132,16.72434,27.69,1.8169,123.47,17.98,0,1,0,0,0,19.58
4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,-6.235686,1.247911,1.665693,6.86841,-40.22922,21.77645,53.71,1.3836,56.75,18.71,0,1,0,0,0,20.21
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,-6.37521,0.129938,0.0039,10.08365,-19.01036,22.24629,0.0,0.846,68.42,16.51,0,0,0,0,1,19.65
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,11.96,0,0,0,0,1,15.67
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,9.7,0,0,0,0,1,11.6
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,63.32,0.967,97.09,9.63,0,0,0,1,0,10.58
4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-7.312796,-5.47691,0.000224,16.62616,-27.73086,40.54127,95.16,2.07012,195.4,19.69,0,1,0,0,0,20.86
4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,-6.235686,1.247911,1.665693,6.86841,-40.22922,21.77645,53.71,1.3836,56.75,18.3,0,0,0,1,0,20.32
